id,postcode,title,update date,start date,end_date,country subentity,city,estimate overall contract amount,total amount,tax excslusive amount
878275,06800,Servicio de Lavandería y Planchado,2015-01-07,2015-01-01,No date available,ESPAÑA,Mérida,No amount available,0,0
878276,28020,"mantenimiento monitorización del tráfico Internet red AEAT, PacketShaper 12000-L001G,",2015-01-07,No date available,No date available,Not country subentity available,Madrid,42901.76,25955.56,21450.88
868302,46024,Servicio de mantenimiento y control de las redes de calidad del aire y control acústico de la Autoridad Portuaria de Valencia,2015-01-07,No date available,2014-10-07,ESPAÑA,Valencia,183508,114652.34,94754
865825,09002,Servicio de vigilancia y protección del Centro Nacional de Investigación sobre la Evolución Humana sito en el Paseo de la Sierra de Atapuerca de Burgos,2015-01-07,2015-01-01,2014-09-08,ESPAÑA,Burgos,384000,232320,192000
868882,03005,"Rehabilitación de firme en la carretera CV-735, de Denia a Jávea, entre los P.K. 1+000 al 3+300 y 6+550 al 10+200",2015-01-07,No date available,2014-11-05,Alicante / Alacant,Alicante,278517.7,337006.42,278517.7
873673,33007,"4003/2015 El  objeto de presente contrato es el servicio de portes de los edificios de la sede central, centros y locales dependientes de la Dirección Provincial de la TGSS de Asturias.",2015-01-07,No date available,2014-11-19,ESPAÑA,OVIEDO,84297.52,51000,42148.76
876848,28011,Servicio de varada para el buque SAR Gavia,2015-01-07,No date available,2014-12-02,ESPAÑA,Madrid,132000,110000,110000
866253,09002,Servicio de mantenimiento integral del edificio e instalaciones del Centro Nacional de Investigación sobre la Evolución Humana sito en el Paseo de la Sierra de Atapuerca de Burgos,2015-01-07,2015-01-01,2014-10-14,ESPAÑA,Burgos,300000,181500,150000
878277,28042,Contratación del transporte del correo por carretera en la red de Galicia y Asturias (8 lotes),2015-01-07,No date available,2015-01-12,ESPAÑA,Madrid,1897740,386958,319800
878278,41012,Medidas para la seguridad operativa del puerto,2015-01-07,2015-01-13,No date available,Sevilla,Sevilla,No amount available,27851.25,23017.56
863953,41018,"Servicio de limpieza de la sede de la Dirección Provincial de la Tesorería General de la Seguridad Social de Sevilla, Administraciones, URES y otros 
locales dependientes de la misma, para el año 2015",2015-01-07,2015-01-01,2014-07-08,ESPAÑA,Sevilla,792000,479160,396000
878279,03005,"Obras de rehabilitación del centro de oficinas municipales ""La Acequia"", en el municipio de Daya Vieja",2015-01-07,No date available,No date available,Alicante / Alacant,Alicante,73502,88937,73502
865826,09002,Servicio de recepción y atención telefónica del Centro Nacional de Investigación sobre la Evolución Humana sito en el Paseo de la Sierra de Atapuerca de Burgos,2015-01-07,2015-01-01,2014-09-08,ESPAÑA,Burgos,144000,87120,72000
878280,41012,"Suministro e instalación de equipos electrónicos, lámparas de 400 w VSAP, cuadro protecciones y montaje de brazo con protector en corona de seis torres del muelle de Batán Norte",2015-01-07,2014-12-31,No date available,Sevilla,Sevilla,No amount available,7415.92,6128.86
878281,28012,"Servicio de seguridad y vigilancia en Atocha, 106",2015-01-07,2015-01-01,No date available,ESPAÑA,Madrid,No amount available,54000,44628
878282,03005,"Obras de reparación de la red de alcantarillado de la Avda. del Mar y Calle San Antonio, en el municipio de la Xara (E.A.T.I.M)",2015-01-07,No date available,No date available,Alicante / Alacant,Alicante,61826.14,74809.63,61826.14
850372,28042,"Servicios de lavado, reparación y clasificación de sacas, bandejas, carteras, cascos, anoraks, fundas y correas PDAS y bolsas de reparto.
Contrato reservado a Centros Especiales de Empleo o empresas con el 70% de discapacitados, de conformidad con el artículo 89 de la Ley 31/2007, de 30 de octubre
",2015-01-07,No date available,2013-10-03,ESPAÑA,Madrid,3513218.66,1232172.34,1018324.25
878283,28014,Obras de rehabilitación de las cubiertas del cuerpo de Velázquez del MNP,2015-01-07,2014-12-30,2014-11-10,ESPAÑA,Madrid,163305.42,197599.56,163305.42
868895,33201,"Suministro, por el sistema de lotes, de prendas de seguridad y elementos de protección personal necesarios para los trabajadores adscritos a los diferentes planes de empleo del Ayuntamiento de Gijón, año 2015",2015-01-07,2015-01-01,2014-10-02,Asturias,Gijón,79750.75,96498.41,79750.75
878284,03005,Obras de reforma y ampliación de sala multiusos en el municipio de Els Poblets,2015-01-07,No date available,No date available,Alicante / Alacant,Alicante,74380.15,89999.98,74380.15
865147,28014,Obras de ejecución de la nueva sede del Archivo Histórico Provincial en Huelva.,2015-01-07,No date available,2014-08-28,ESPAÑA,Madrid,8374953.69,10133693.96,8374953.69
878285,08039,Servicios de soporte técnico (mantenimiento) del software base de la Plataforma tecnológica del Port de Barcelona (año 2015). Clave de expediente: 2014R360020.,2015-01-07,No date available,No date available,Barcelona,Barcelona,88442.4,107015.3,88442.4
875995,28043,"Asistencia en un Centro Sanitario Hospitalario sito en el término municipal de Burgos (Comunidad Autónoma de Castilla y León) que disponga de instalaciones y medios suficientes para la prestación de servicios de asistencia sanitaria en régimen hospitalario (urgencias, ingresos y estancias hospitalarias, intervenciones quirúrgicas, pruebas diagnosticas y consultas de especialistas)",2015-01-07,No date available,2014-12-29,ESPAÑA,Madrid,1137340,568670,568670
878286,28012,Organización e impartición de la formación tutorizada online en ofimática para los empleados públicos de la Administración general del Estado,2015-01-07,2015-04-13,2015-01-21,ESPAÑA,Madrid,400000,200000,200000
